	Module	Kind	#	Business Term	element	DictionaryEntryName	Description	xsd	object Class Term Qualifier	Object ClassTerm	Property Term Qualifier	Property Term	Datatype Qualifier	Representation Term	Associated Object Class Term Qualifier	Associated Object Class
1	cor	ABIE	0	Accounting Entries	gl-cor:accountingEntries	xBRL_ Accounting Entries. Details	Root for XBRL GL. No entry made here.		xBRL	Accounting Entries						
2	cor	ASBIE	1	Document Information	gl-cor:documentInfo	xBRL_ Accounting Entries. Specified. xBRL_ Document Information	Parent for descriptive information about the accountingEntries section in which it is contained.		xBRL	Accounting Entries		Specified			xBRL	Document Information
3	cor	ASBIE	2	Entity Information	gl-cor:entityInformation	xBRL_ Accounting Entries. Specified. xBRL_ Entity Information	Holder for entity information - information about the reporting organization.		xBRL	Accounting Entries		Specified			xBRL	Entity Information
4	cor	ASBIE	3	Entry Header	gl-cor:entryHeader	xBRL_ Accounting Entries. Specified. xBRL_ Entry Header	Parent for entry headers/journal entry headers.		xBRL	Accounting Entries		Specified			xBRL	Entry Header
5	cor	ABIE	0	Document Information	gl-cor:documentInfo	xBRL_ Document Information. Details	Parent for descriptive information about the accountingEntries section in which it is contained.		xBRL	Document Information						
6	cor	BBIE	1	Entries Type. Code	gl-cor:entriesType	xBRL_ Document Information. Entries Type. Code	"account: information to fill in a chart of accounts file. balance: the results of accumulation of a complete and validated list of entries for an account or a list of account in a specific period - sometimes called general ledger entries: a list of individual accounting entries, which might be posted/validated or nonposted/n journal: a self-balancing Dr= Cr list of entries for a specific period including beginning balance for that period. ledger: a complete list of entries for a specific account or list of accounts for a specific period; note - debits do not have to equal credits. assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal n trialBalance: the self-balancing Dr= Cr result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these 'master file' tax tables can be referenced. mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts. versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts. master_file: a collection of master files, such as the customer or inventory master file. trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders. profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles. other: for all other types of representations. Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches."	token	xBRL	Document Information		Entries Type		Code		
7	cor	BBIE	2	Unique ID	gl-cor:uniqueID	xBRL_ Document Information. Unique ID	Unique identifier for this file.	string	xBRL	Document Information		Unique ID		Text		
8	cor	BBIE	3	Reverse Unique ID	gl-cor:revisesUniqueID	xBRL_ Document Information. Reverse Unique ID	Internal ID Number associated with identifierReference	string	xBRL	Document Information		Reverse Unique ID		Text		
9	cor	BBIE	4	Reverse Unique ID Action. Code	gl-cor:revisesUniqueIDAction	xBRL_ Document Information. Reverse Unique ID Action. Code	Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.	token	xBRL	Document Information		Reverse Unique ID Action		Code		
10	cor	BBIE	5	Language. Code	gl-cor:language	xBRL_ Document Information. Language. Code	"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes."	QName	xBRL	Document Information		Language		Code		
