num,module,kind,table,no,name,level,DT,length,DEN,Desc,OclassQ,Oclass,P,R,AQ,A
1,Public Archives,IDBIE,Electronic Books,1,Number of Electronic Book,1,C..60,60,GB_ Electronic Books. ID,The number of the current electronic book in accounting software,GB,Electronic Books,Identification,Identifier,,
2,Public Archives,BBIE,Electronic Books,2,Name of Electronic Book,1,C..200,200,GB_ Electronic Books. Name of Electronic Book,The name of the current electronic book in accounting software,GB,Electronic Books,Name of Electronic Book,Text,,
3,Public Archives,BBIE,Electronic Books,3,Accounting Entity,1,C..200,200,GB_ Electronic Books. Accounting Entity, Note:The legal name of accounting entity,GB,Electronic Books,Accounting Entity,Text,,
4,Public Archives,BBIE,Electronic Books,4,Organization Code,1,C..20,20,GB_ Electronic Books. Organization Code,The organization code of enterprises and undertakings Note:prepared in accordance with the requirements of GB 11714-1997,GB,Electronic Books,Organization Code,Identifier,,
5,Public Archives,BBIE,Electronic Books,5,Organization Type,1,C8,8,GB_ Electronic Books. Organization Type,Labeled as either 'enterprise' or 'undertaking',GB,Electronic Books,Organization Type,Date,,
6,Public Archives,BBIE,Electronic Books,6,Industry,1,C..20,20,GB_ Electronic Books. Industry,The corresponding industry name under superior sector code Note:Prepared in accordance with GB/T 4754,GB,Electronic Books,Industry,Identifier,,
7,Public Archives,BBIE,Electronic Books,7,Name of Developer,1,C..200,200,GB_ Electronic Books. Name of Developer,The name of software developer,GB,Electronic Books,Name of Developer,Text,,
8,Public Archives,BBIE,Electronic Books,8,Version,1,C..20,20,GB_ Electronic Books. Version,The version number of accounting software,GB,Electronic Books,Version,Identifier,,
9,Public Archives,BBIE,Electronic Books,9,Functional Currency,1,C..30,30,GB_ Electronic Books. Functional Currency,The recording currency used in financial accounting of software Note:Indicated according to GB/T 12406-2008,GB,Electronic Books,Functional Currency,Identifier,,
10,Public Archives,BBIE,Electronic Books,10,Fiscal Year,1,C4,4,GB_ Electronic Books. Fiscal Year,The year of the current financial statement Note:e.g. '2010',GB,Electronic Books,Fiscal Year,Code,,
11,Public Archives,BBIE,Electronic Books,11,Standard Version,1,C..30,30,GB_ Electronic Books. Standard Version,The standard issuing no. of the standards with which the current output files are consistent,GB,Electronic Books,Standard Version,Identifier,,
12,Public Archives,IDBIE,Accounting Period,1,Fiscal Year,1,C4,4,GB_ Accounting Period. ID,The year of the current financial statement Note:e.g. '2010',GB,Accounting Period,Identification,Identifier,,
