ENTITY_NAME	TAG	CODE	DESCRIPTION	COMMENTS	XMLTAG
ACCOUNT SEGMENT	ACS		Account segment information.		AccountSegment
ADDRESS	ADR		Address information.		Address
ADJUSTED AMOUNT	AJA		Adjusted amount.		AdjustedAmount
AMOUNT CURRENCY	AMT		Amount in different currencies.		AmountCurrency
AP ADJUSTMENT	APA		"Contains all adjustments recorded against the invoice and impacting the invoice balance during the period. For example, write-offs, credit memos, and other adjustments. The file will have one record for each adjustment to each invoice. For example, if an adjustment transaction impacted three invoices, there will be three records for that adjustment-one for each of the invoices impacted by the adjustment."	095	ApAdjustment
AP ADJUSTMENT DETAILS	AAD		Contains line item details for the invoices included in the AP_Adjustments table. The file will have one record for each invoice line item impacted by each adjustment.	097	ApAdjustmentDetails
AP CASH APPLICATION	APC		"Contains information of all cash payments applied against the invoice during the period under review. The file will have one record for each application of a cash payment to an invoice; for example, if a cash payment was applied to three invoices, there will be three records for that payment - one for each of the invoices to which the cash was applied. In the context of this process, cash means any type of payment received including checks and wire transfers and cash."	093	ApCashApplication
AP OPEN ACCOUNT PAYABLE	OAP		"Contains details regarding all open, unpaid, or unresolved payable transactions as of a specified date. Each row in this table represents the balance due to the supplier for one uniquely identifiable transaction. This file should be at the summary level (by invoice), not at the detailed level (by invoice line item). The sum total of the transaction amounts as of the specified date shall reconcile to the total AP amount in the general ledger (GL) as of the same date."	089	ApOpenAccountPayable
AP PAYMENT MADE	PAM		"Contains information on all payment transactions made during the period. Types of payments include check, wire transfer and cash."	091	ApPaymentMade
APPROVED	APR		Information about the data was approved within the system.		Approved
AR ADJUSTMENT	ARA		"Contains all adjustments recorded against the invoice and impacting the invoice balance during the period. For example, write-offs, credit memos, and other adjustments. The data set shall contain one record for each adjustment to each invoice. For example, if an adjustment transaction impacted three invoices, there shall be three records for that adjustment; one for each of the invoices impacted by the adjustment."	067	ArAdjustment
AR ADJUSTMENT DETAILS	ARL		Contains line item details for the invoices included in the AR_Adjustments. The file will record for each invoice line item impacted by each adjustment.	069	ArAdjustmentDetails
AR CASH APPLICATION	ACA		"Contains information of all cash receipts applied against the invoice during the period under review. The file will have one record for each application of cash receipt to an invoice. For example, if a cash receipt was applied to three invoices, there will be three records for that receipt, one for each of the invoices to which the cash was applied. In the context of this process, cash means any type of receipt received including checks and wire transfers and crash."	065	ArCashApplication
AR CASH RECEIVED	CAR		"Contains information on all payment transactions received during the period. Cash means any type of receipt received including checks, wire transfers and cash."	063	ArCashReceived
AR OPEN ACCOUNT RECEIVABLE	OAR		"Contains details regarding all open, unpaid, or unresolved customer transactions as of a specified date. Each row in this table represents the balance expected from the customer for one uniquely identifiable transaction. This data should be at the summary level (by invoice), not at the detailed level (by invoice line item). The sum total of the transaction amounts as of the specified date shall reconcile to the total AR amount in the general ledger (GL) as of the same date."	061	ArOpenAccountReceivable
BALANCE AMOUNT	BAT		"Balance monetary amounts recorded in their currency. The balance here refers to the remaining balance unpaid or needing settlement, which can be calculated by analyzing net of the originating invoice and any payment made and adjustments against it."		BalanceAmount
BALANCE BEGINNING AMOUNT	BBA		The beginning balance amount.		BalanceBeginningAmount
BALANCE ENDING AMOUNT	BEA		The ending balance amount.		BalanceEndingAmount
BAS ACCOUNTING PERIOD	APE		"Contains information related to accounting period including the corresponding fiscal year, the beginning and ending date. The table captures the time range within a specific reporting period and year, in which business transactions and entries are accumulated into financial statements and other reports."	022	BasAccountingPeriod
BAS BANK ACCOUNT	BAC		Contains the details of a bank account.	038	BasBankAccount
BAS BILL TYPE	BLT		"Contains information of bill type, for example, bank draft, commercial draft, promissory note and check. Bills are frequently used in the business cycle of sales and purchase, as evidence of debt, payment and/or settlement instrument."	026	BasBillType
BAS BUSINESS SEGMENT	SEG		"The BAS_Business_Segment and the BAS_Business_Segment_Hierarchy have been designed to tabularize the portions of an organizational chart that is reflected in the business transactions as structural units  e.g. business unit, department, cost center and project).
The fields within the BAS_Business_Segment are used to capture the individual organizational unit represented by each box on an organizational diagram."	004	BasBusinessSegment
BAS BUSINESS SEGMENT HIERARCHY	BSH		"The fields in the BAS_Business_Segment_Hierarchy are used to capture the relationships between the individual organization units. The table assumes a one to one relationship and captures the data necessary to consolidate transactions occurring for child level organizational units into higher level organizational structures (for example, business unit to division)."	006	BasBusinessSegmentHierarchy
BAS CHART OF ACCOUNTS	ACC		"Contains the information about GL accounts, including name, description, type and hierarchy. This table is level 1. When it is cross-referred by other table(s), consistency shall apply. For example, in this table, the value of GL_Account_Number is 101, the value of GL_Account_Name is cash, and the value of Balance_Debit_Or_Credit is D, if the value of GL_Account_Number in GL_Tial_Balance table is 101, then the Amount corresponding with cash account (101) must be debit."	020	BasChartOfAccounts
BAS CURRENCY	CUR		Contains the information of the currency.	030	BasCurrency
BAS CUSTOMER	CUS		Contains essential and generic information of the customers.	014	BasCustomer
BAS CUSTOMER TYPE	CST		Contains detailed descriptions of the customer type.	012	BasCustomerType
BAS CUSTOMIZED ACC SEGMENT	CAS		"An account segment is a customized file item, which includes the information of the customized account segments that are not fixed account segments and no other table contains their description information, for example region type. This table is used together with the BAS_Customized_ACC_Value."	044	BasCustomizedAccSegment
BAS CUSTOMIZED ACC VALUE	CAV		Contains the information from the customized account segment value.	046	BasCustomizedAccValue
BAS EMPLOYEE	EMP		Contains the personnel information of the employee in an independent accounting unit.	008	BasEmployee
BAS JOURNAL ENTRY TYPE	JET		"Contains information relevant with the GL journal entry type, for example, cash receipts, cash disbursements."	024	BasJournalEntryType
BAS MEASUREMENT UNIT	MEA		"Contains information of the measurement unit (UOM) used in the modules of general ledger, sales, purchase and inventory and PPE."	032	BasMeasurementUnit
BAS PAYMENT TERM	PAT		"Contains the details of the payment term, which is applied and referenced in the purchase ans sales modules.The payment term refers to the condition of a sale/purchase agreement and is related to how the customer will pay (type of credit instrument), and especially how much time is allowed for payment (credit period) and discount (cash discount and discount period)."	034	BasPaymentTerm
BAS PROFILE	PRF		"Contains industry and software version information. This table contains information related to the profile of the data being collected. For instance, when we extract the financial data of 2016 from an auditee using SAP XXX ERP System in 2017.1.16, we should have a record with the Profile_Name ""XXX_2016"", Fiscal_Year ""2016"", Developer_Name ""SAP"", Software_Name ""SAP_S/4"", Software_Version ""2.0"", Functional_Currency ""CNY, Standard_Version ""ISO 21378"", Extracted_Date ""2017-01-16""."	048	BasProfile
BAS PROJECT	PRJ		"Contains the detailed information related to the project; for example, construction project, government or business-funded research project. Projects are commonly administrated seperately and could be subject to being audit in accordance with regulatory and/or managerial requirements. The audit of a project is a thorough examination of the management, execution, methodology, procedures, records, budgets, expenditures, and the degree of completion. It is referenced in several modules including the GL, AR, AP and Inventory."	036	BasProject
BAS SETTLEMENT METHOD	STM		"Contains information on methods used to settle transactions. Businesses can adopt various methods to settle transactions and transfer money, especially in sales and purchase activities. Typical settlement methods include: cash settlements, issuing bills, using credit cards, bank remittances and bank collection."	028	BasSettlementMethod
BAS SUPPLIER	SUP		Contains essential and generic information of the suppliers.	018	BasSupplier
BAS SUPPLIER TYPE	SPT		Contains detailed descriptions of the supplier type.	016	BasSupplierType
BAS TAX REGULATORY	TAR		"Contains regulatory information related to taxes, for example, regulator country, region, name and role."	040	BasTaxRegulatory
BAS TAX TYPE	TAT		"Contains detailed information on tax types used by the business. Tables in AR, Sales, AP and Purchase modules contain 4 tax types respectively, which can meet requirement of most cases of the business. Tax types could be tax in country level, in state level, in county level or in local level, or tax related to a transaction, for example, sale tax, value added tax or tariff."	042	BasTaxType
BAS USER	USR		Contains the user information of accounting and/or ERP system.	010	BasUser
BILLING ADDRESS	BLA		Billing address information.		BillingAddress
CONTACT	CON		Contact information.		Contact
CONTRACT	CTR		Contains information about a contract.		Contract
CONTRACT DETAILS	CTD		Contains line item details for a contract.		ContractDetails
CREATED	CRT		Information about the data  that was created into the system.		Created
CREDIT AMOUNT	CRA		The accumulative credit total during particular accounting period.		CreditAmount
CURRENCY INFO	CRC		Currency information.		CurrencyInfo
DEBIT AMOUNT	DBA		The accumulative debit total during particular accounting period.		DebitAmount
GL ACCOUNT PERIOD BALANCE	GPB		"Contains the cumulative total and balance of accounts in each accounting period, facilitating the calculation of beginning, ending balance, duration amounts and quantity, thus reflecting information and changes in GL more intuitively. In this table, the quantity can serve different regulatory and managerial purposes. For example, subledgers of inventory and PPE may not be covered in some auditees' systems. In this case, we can record the cumulative total and balance of quantity of inventory or PPE in this table. This is a well-established practice in some countries, like France and China. Countries can choose to use GL_Trial_Balance or GL_Accounts_Period_Balance or both, depending on their customary practice, regulatory and managerial requirements."	058	GlAccountPeriodBalance
GL ACCOUNT SEGMENT	GSG		"The code and name for account segment, as well as the GL_Account_Number to which the account segment is related.The account segment provides additional information for particular GL_Accounts; for example, the accounts receivable contains the information regarding supplier, customer, employee, and project. Such information would be treated as an account segment below A/R, thus resulting in a lengthy account structure. In light of this, the account segment structure is defined as a set to record related information, efficiently avoiding the case that account names and numbers are extended to be too long and too complex. Account segment is more flexible to capture the complicated information. 
Some of the most frequently used account segments, for example, project, employee and bank account, have been defined as fixed fields in tables, such as GL_Details. These segments are called fixed account segments in the document. Fixed account segments and other customized account segments are covered in this table."	056	GlAccountSegment
GL DETAILS	GLD		"Contains all of the journal entry details for each transaction; for example, the associated journal entry ID, the associated account number, and the debits or credits associated with the journal entry line. This table should be at the journal entry line level."	052	GlDetails
GL SOURCE	SRC		"Contains additional information about the sources provided in the GL_Details table. Each source shall include a description of the ERP system or accounting package, from which the data is extracted, and information relating to the business process the data represents."	054	GlSource
GL TRIAL BALANCE	GTB		Conains all the ledger account balance information. The GL_Trial_Balance file shall contain the ending balances at a point in time. The GL_Trial_Balance should be extracted at the same time as the GL_Details to prevent differences in transactions and balances.	050	GlTrialBalance
HANDLING	HND		Handling information.		Handling
INV LOCATION	IVL		Contains information of inventory locations where inventory may be tracked.	121	InvLocation
INV ON HAND	IVH		"Contains information of inventory on hand, for example, suppliers, quantities of items by location and amounts as of the specified date."	127	InvOnHand
INV PERIOD BALANCE	IPB		"Contains inventory information regarding its beginning and ending balances, quantities and durational quantities and amounts."	133	InvPeriodBalance
INV PHYSICAL INVENTORY	PHI		Contains the quantities on hand as of the date of the physical inventory count as well as the flow information.	131	InvPhysicalInventory
INV PRODUCT	IPR		"Contains basic attributes of inventory items and other tracked items through the purchase, use and sales."	125	InvProduct
INV PRODUCT TYPE	IPT		Contains inventory product type information and the tree structure information of inventory product type.	123	InvProductType
INV TRANSACTION	INT		Contains transaction history impacting the inventory accounts during the specified time period.	129	InvTransaction
INVOICE	INV		Contains the summery information for the invoices.		Invoice
INVOICE DETAILS	IVD		Contains line item details for invoices.		InvoiceDetails
LAST MODIFIED	LSM		Information about the data was  last modified within the system.		LastModified
MESSAGE	MSG		Message		Message
ORDER	ORD		Contains summary information of orders.		Order
ORDER DETAILS	ODT		Line item details for orders.		OrderDetails
PHYSICAL ADDRESS	PHA		Physical address information.		PhysicalAddress
POSTED	PST		Information about the data that was posted.		Posted
PPE ADDITION	PPA		Contains the information of PPE addition transactions.	140	PpeAddition
PPE CHANGE	PPC		"Contains changes in PPE information not related to additions and removals of PPE.  Examples of information changes recorded include: revaluation, historical cost, depreciation method and ownership."	144	PpeChange
PPE DEPARTMENT ALLOCATION	DPA		"Contains information about how the related expenses are allocated among departments who benefit from using the PPE, especially the depreciation expenses."	146	PpeDepartmentAllocation
