Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	"Definition
Mandatory"	Object Class Term Qualifier(s)	Object Class Term	Property Term	Datatype Qualifier(s)	Representation Term	Occurrence Min	Occurrence Max		
Library Maintenance Only	"START HERE
Press Enter"	"Keep the rows together
Adjust selected rows with Ctrl-a"	"Enable macro's with Ctrl-e
Disable macro's with Ctrl-d"	Optional for BIE	Mandatory	"Mandatory for 
BBIE, ASBIE, BCC, ASCC"	"Optional for BBIE
Each separated by an 
underscore and a space"	Mandatory for BBIE and BCC	"Mandatory for 
BBIE, ASBIE, BCC, ASCC"		Enumeration	Restriction Value
	DT		Complex Data Type containing Supplemental Components									
	CC		Content Component									
	SC		Supplemental Component contained within the Data Type									
UN02000171	DT	Access Rights Type_ Code. Type	A character string used to represent the type of access rights.				Access Rights Type	Code				
	CC	Code. Content	A character string used to represent the type of access rights.	Access Rights Type	Code				1	1	EDIFICASEU_AccessRightsType_D11A.TXT	
	SC	Code List. Identifier		Access Rights Type	Code List	Identifier		Identifier	0	1		AccountingE704
	SC	Code List. Agency. Identifier		Access Rights Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Access Rights Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Access Rights Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000165	DT	Accounting Account Balance Reopening Type_ Code. Type	A character string used to represent the type of accounting account balance reopening.				Accounting Account Balance Reopening Type	Code				
	CC	Code. Content	A character string used to represent the type of accounting account balance reopening.	Accounting Account Balance Reopening Type	Code				1	1	EDIFICASEU_AccountingAccountBalanceReopeningType_D11A.TXT	
	SC	Code List. Identifier		Accounting Account Balance Reopening Type	Code List	Identifier		Identifier	0	1		AccountingE602
	SC	Code List. Agency. Identifier		Accounting Account Balance Reopening Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Account Balance Reopening Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Account Balance Reopening Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000161	DT	Accounting Account Classification_ Code. Type	A character string used to represent the type of accounting account classification.				Accounting Account Classification	Code				
	CC	Code. Content	A character string used to represent the type of accounting account classification.	Accounting Account Classification	Code				1	1	EDIFICASEU_AccountingAccountClassification_D11A.TXT	
	SC	Code List. Identifier		Accounting Account Classification	Code List	Identifier		Identifier	0	1		AccountingE902
	SC	Code List. Agency. Identifier		Accounting Account Classification	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Account Classification	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Account Classification	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000166	DT	Accounting Account Nature Type_ Code. Type	A character string used to represent the type of accounting account nature.				Accounting Account Nature Type	Code				
	CC	Code. Content	A character string used to represent the type of accounting account nature.	Accounting Account Nature Type	Code				1	1	EDIFICASEU_AccountingAccountNatureType_D11A.TXT	
	SC	Code List. Identifier		Accounting Account Nature Type	Code List	Identifier		Identifier	0	1		AccountingE502
	SC	Code List. Agency. Identifier		Accounting Account Nature Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Account Nature Type	Code List	Version		Identifier	0	1		D11A
