Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	"Definition
Mandatory"	Object Class Term	Property Term	Representation Term	Associated Object Class	Business Term(s)	Usage Rule(s)	Occurrence Min	Occurrence Max	Short Name
Library Maintenance Only	"START HERE
Press Enter"	"Keep the rows together
Adjust selected rows with Ctrl-a"	"Enable macro's with Ctrl-e
Disable macro's with Ctrl-d"	Mandatory	"Mandatory for 
BBIE, ASBIE, BCC, ASCC"	Mandatory for BBIE and BCC	Mandatory for ASBIE and ASCC	Optional	Optional	"Mandatory for 
BBIE, ASBIE, BCC, ASCC"		
	ACC		Aggregate Core Component									
	BCC		Basic Core Component contained within the ACC									
	ASCC		"Associated (Aggregate) Core Component, associated with the ACC"									
UN00006834	ACC	Access Control List. Details	"A list of permissions attached to an object defining access rights, such as to a party or system."	Access Control List								Access Control List
UN00006835	BCC	Access Control List. Type. Code	A code specifying a type for this access control list.	Access Control List	Type	Code				0	unbounded	Type Code
UN00006836	BCC	Access Control List. Access Right. Code	A code specifying the access rights for this access control list.	Access Control List	Access Right	Code				0	unbounded	Access Rights Code
UN00006837	ASCC	Access Control List. Included. Party	A party included in this access control list.	Access Control List	Included		Party			0	unbounded	Included Party
UN00003667	ACC	Accompanying Person. Details	"A person that accompanies another person, such as a mother accompanying her child during a stay in hospital."	Accompanying Person								Accompanying Person
UN00003668	BCC	Accompanying Person. Relationship To Patient. Code	The code specifying the accompanying person's relationship to the patient.	Accompanying Person	Relationship To Patient	Code				0	1	Relationship To Patient Code
UN00003669	ASCC	Accompanying Person. Specified As. Party	The party specified as an accompanying person.	Accompanying Person	Specified As		Party			0	1	Specified As Party
UN00005786	ACC	Accounting Account Boundary. Details	The lower and upper limits in a series of consecutive accounts.	Accounting Account Boundary								Accounting Account Boundary
UN00004757	BCC	Accounting Account Boundary. First Account Identification. Identifier	The unique identifier for the first account in a series for this accounting account boundaries.	Accounting Account Boundary	First Account Identification	Identifier				0	1	First Account ID
UN00004758	BCC	Accounting Account Boundary. Last Account Identification. Identifier	The unique identifier for the last account in a series for this accounting account boundaries.	Accounting Account Boundary	Last Account Identification	Identifier				0	1	Last Account ID
UN00004759	BCC	Accounting Account Boundary. First Sub-Account Identification. Identifier	The unique identifier for the first sub-account in a series for this accounting account boundaries.	Accounting Account Boundary	First Sub-Account Identification	Identifier				0	1	First Sub-Account ID
UN00004760	BCC	Accounting Account Boundary. Last Sub-Account Identification. Identifier	The unique identifier for the last sub-account in a series for this accounting account boundaries.	Accounting Account Boundary	Last Sub-Account Identification	Identifier				0	1	Last Sub-Account ID
UN00004761	ACC	Accounting Account Classification. Details	"A systematic arrangement in classes or categories according to the sector of activities the business is actually running, such as insurance, commercial and industrial, or not for profit."	Accounting Account Classification								Accounting Account Classification
UN00004762	BCC	Accounting Account Classification. Identification. Identifier	The unique identifier for this classification of accounting accounts.	Accounting Account Classification	Identification	Identifier				0	1	ID
UN00004763	BCC	Accounting Account Classification. First Use. Date Time	"The date, time, date time, or other date time value of the first use for this accounting account classification."	Accounting Account Classification	First Use	Date Time				0	1	First Use Date Time
UN00004764	BCC	Accounting Account Classification. Internal Reference. Text	"The internal reference, expressed as text, of this accounting account classification."	Accounting Account Classification	Internal Reference	Text				0	1	Internal Reference Text
UN00004765	BCC	Accounting Account Classification. Using Country. Code	The code specifying the country where this accounting account classification is in use or defined.	Accounting Account Classification	Using Country	Code				0	1	Using Country Code
UN00004766	BCC	Accounting Account Classification. Currency. Code	The code specifying the currency for this accounting account classification.	Accounting Account Classification	Currency	Code				0	1	Currency Code
UN00004767	BCC	Accounting Account Classification. Type. Code	"The code specifying the type of accounting account classification, such as general account, payable, receivable, budget account, cost accounting account, job, building site, etc."	Accounting Account Classification	Type	Code				0	1	Type Code
UN00004768	BCC	Accounting Account Classification. Version. Text	"The version, expressed as text, of this accounting account classification."	Accounting Account Classification	Version	Text				0	1	Version Text
UN00004769	BCC	Accounting Account Classification. Revision. Text	"The revision, expressed as text, of this accounting account classification."	Accounting Account Classification	Revision	Text				0	1	Revision Text
UN00004770	ASCC	Accounting Account Classification. Related. Accounting Account	An accounting account related to this accounting account classification.	Accounting Account Classification	Related		Accounting Account			0	unbounded	Related Accounting Account
UN00004949	ASCC	Accounting Account Classification. Specified. Accounting Period	An accounting period specified for this accounting account classification.	Accounting Account Classification	Specified		Accounting Period			0	unbounded	Accounting Period
UN00004771	ACC	Accounting Account Credit Risk. Details	"The risk of loss due to a debtor's non-payment of due invoices, loan or other line of credit for an accounting account."	Accounting Account Credit Risk								Accounting Account Credit Risk
UN00004772	BCC	Accounting Account Credit Risk. Cap Limitation. Amount	The monetary value of the cap limitation for this accounting account credit risk.	Accounting Account Credit Risk	Cap Limitation	Amount				0	1	Cap Limitation Amount
UN00004773	BCC	Accounting Account Credit Risk. Current. Amount	The monetary value of the current amount for this accounting account credit risk.	Accounting Account Credit Risk	Current	Amount				0	1	Current Amount
UN00004774	ACC	Accounting Account Dimension. Details	The characteristics template for an aspect of an accounting account which bounds a set of values.	Accounting Account Dimension								Accounting Account Dimension
UN00004775	BCC	Accounting Account Dimension. Ranking. Numeric	"The ranking number for this dimension, such as third dimension, in this accounting account."	Accounting Account Dimension	Ranking	Numeric				0	1	Ranking Number
UN00004776	BCC	Accounting Account Dimension. Identification. Identifier	The unique identifier for this accounting account dimension.	Accounting Account Dimension	Identification	Identifier				0	1	ID
UN00004777	BCC	Accounting Account Dimension. Name. Text	"The name, expressed as text, of this accounting account dimension."	Accounting Account Dimension	Name	Text				0	1	Name
UN00004778	BCC	Accounting Account Dimension. Field Length. Numeric	"The length, expressed in a number of characters, of the field for this accounting account dimension."	Accounting Account Dimension	Field Length	Numeric				0	1	Field Length
UN00004779	ACC	Accounting Account Pattern. Details	"A template depicting the mask of the structure that forms an accounting account identifier; the structure is arranged in successive parts ;_ for instance, ""AABBBBCC"" where AA represents a state, BBBB a product, CC a sales representative."	Accounting Account Pattern								Accounting Account Pattern
UN00004780	BCC	Accounting Account Pattern. Identification. Identifier	The unique identifier for this accounting account pattern.	Accounting Account Pattern	Identification	Identifier				0	1	ID
