Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	Short Name	"Definition
Mandatory"	Publication comments	Object Class Term Qualifier(s)	Object Class Term	Property Term Qualifier(s)	Property Term	Datatype Qualifier(s)	Representation Term	Qualified Data Type UID	Associated Object Class Term Qualifier(s)	Associated Object Class	Business Term(s)	Usage Rule(s)	Sequence Number	Occurrence Min	Occurrence Max	Business Process	Product	Industry	Region (Geopolitical)	Official Constraints	Role	Supporting Role	System Constraints	Example(s)	BIE/CC/DT Version	Ref Library Version	Submitter Name	Ref Component UN ID	Ref CR ID	Unique submitter ID	CR Status Date	CR Status	Library Maintenance Comment	TDED
UN01009069	ABIE	AAA Archive_ Archive Parameter. Details	AAA Archive Parameter	The set of parameters linked with this AAA (Accounting And Audit) archive.		AAA Archive	Archive Parameter													"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009070	BBIE	AAA Archive_ Archive Parameter. Input. Date Time	Input Date Time	"The date, time, date time, or other date time value of the input of this AAA archive parameter."		AAA Archive	Archive Parameter		Input		Date Time						1	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009071	BBIE	AAA Archive_ Archive Parameter. Scheduled Destruction. Date Time	Scheduled Destruction Date Time	"The scheduled destruction date, time, date time, or other date time value for this AAA archive parameter."		AAA Archive	Archive Parameter		Scheduled Destruction		Date Time						2	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009072	BBIE	AAA Archive_ Archive Parameter. Prescription. Date Time	Prescription Date Time	"The prescription date, time, date time, or other date time value for this AAA archive parameter."		AAA Archive	Archive Parameter		Prescription		Date Time						3	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009073	BBIE	AAA Archive_ Archive Parameter. Destruction Authorization Level. Identifier	Destruction Authorization Level ID	The identifier of the authorization level for the destruction for this AAA archive parameter.		AAA Archive	Archive Parameter		Destruction Authorization Level		Identifier						4	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009074	ASBIE	AAA Archive_ Archive Parameter. Input Responsible. AAA Archive_ Party	Input Responsible Party	The party responsible for the input of this AAA archive parameter.		AAA Archive	Archive Parameter		Input Responsible				AAA Archive	Party			1	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009075	ASBIE	AAA Archive_ Archive Parameter. Destruction Responsible. AAA Archive_ Party	Destruction Responsible Party	The party responsible for the destruction of this_AAA archive parameter.		AAA Archive	Archive Parameter		Destruction Responsible				AAA Archive	Party			2	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009076	ASBIE	AAA Archive_ Archive Parameter. Trusted Third Party. AAA Archive_ Authentication	Trusted Third Party Authentication	The authentication of the trusted third party for this AAA archive parameter.		AAA Archive	Archive Parameter		Trusted Third Party				AAA Archive	Authentication			3	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009077	ASBIE	AAA Archive_ Archive Parameter. Agent. AAA Archive_ Authentication	Agent Authentication	The authentication of the agent for this_AAA archive parameter.		AAA Archive	Archive Parameter		Agent				AAA Archive	Authentication			4	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009158	ABIE	AAA Archive_ Authentication. Details	AAA Archive Authentication	An AAA (Accounting And Audit) proof that something in an archive is genuine.		AAA Archive	Authentication													"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009159	BBIE	AAA Archive_ Authentication. Actual. Date Time	Actual Date Time	"The actual date, time, date time, or other date time value of this AAA_archive authentication."		AAA Archive	Authentication		Actual		Date Time						1	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009160	BBIE	AAA Archive_ Authentication. Identification. Identifier	ID	The identifier for this AAA_archive authentication.		AAA Archive	Authentication		Identification		Identifier						2	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009161	BBIE	AAA Archive_ Authentication. Statement. Text	Statement	"The statement, expressed as text, for this AAA_archive authentication."		AAA Archive	Authentication		Statement		Text						3	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(4426)
UN01009162	BBIE	AAA Archive_ Authentication. Information. Text	Information Text	"Information, expressed as text, for this AAA_archive authentication."		AAA Archive	Authentication		Information		Text						4	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009163	BBIE	AAA Archive_ Authentication. Signatory. Text	Signatory	"A signatory, expressed as text, for this AAA_archive authentication."		AAA Archive	Authentication		Signatory		Text						5	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009177	ABIE	AAA Archive_ Binary File. Details	AAA Archive Binary File	A computer file or program stored in a binary format used in the AAA (Accounting And Audit) archiving domain.		AAA Archive	Binary File													"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009178	BBIE	AAA Archive_ Binary File. Identification. Identifier	ID	The identifier for this_AAA archive binary file.		AAA Archive	Binary File		Identification		Identifier						1	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009179	BBIE	AAA Archive_ Binary File. Title. Text	Title	"The title, expressed as text, for this_AAA archive binary file."		AAA Archive	Binary File		Title		Text						2	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009180	BBIE	AAA Archive_ Binary File. Author Name. Text	Author Name	"The author name, expressed as text, of this_AAA archive binary file."		AAA Archive	Binary File		Author Name		Text						3	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
