Module	#	Kind	Table	Field #	Field Name	Level	Data Type	Length	XBRL GL Taxonomy Element	Referenced Table	Dictionary Entry Name	Description	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifier	Representation term	Associated Object Class Term Qualifier	Associated Object Class
Core	3	ABIE		0							ADS_ SegmentX. Details	"Reserved segment field that can be used for profit center, division, fund, program, branch, project, and so on."	ADS	SegmentX						
Core	3	RBIE		1	Segment01	2	TEXT	25	"gl-cor:accountSubID with associated gl-cor:accountSubType (Note: XBRL GL tracks hierarchy ID, hierarchy description, and hierarchy type, so it can track code NA, description N. America, and type global area using gl-cor:accountSubID, gl-cor:accountSubDescription, and gl-cor:accountSubType, respectively.)"	Segment0X_Listing	ADS_ SegmentX. Classified01. ADS_ Segment	"Reserved segment field that can be used for profit center, division, fund, program, branch, project, and so on."	ADS	SegmentX		Classified01			ADS	Segment
Core	3	RBIE		2	Segment02	2	TEXT	25	See above	Segment0X_Listing	ADS_ SegmentX. Classified02. ADS_ Segment	See above	ADS	SegmentX		Classified02			ADS	Segment
Core	3	RBIE		3	Segment03	2	TEXT	25	See above	Segment0X_Listing	ADS_ SegmentX. Classified03. ADS_ Segment	See above	ADS	SegmentX		Classified03			ADS	Segment
Core	3	RBIE		4	Segment04	2	TEXT	25	See above	Segment0X_Listing	ADS_ SegmentX. Classified04. ADS_ Segment	See above	ADS	SegmentX		Classified04			ADS	Segment
Core	3	RBIE		5	Segment05	2	TEXT	25	See above	Segment0X_Listing	ADS_ SegmentX. Classified05. ADS_ Segment	See above	ADS	SegmentX		Classified05			ADS	Segment
Core	75	ABIE		0							ADS_ Activity Records. Details		ADS	Activity Records						
Core	75	RBIE		1	Entered By	1	TEXT	100	gl-cor:identifierCode with gl-cor:identifierCategory = 'systemUser'	User_Listing	ADS_ Activity Records. Entered By. ADS_ User	User ID (from User Listing file) for person who created the record.	ADS	Activity Records		Entered By			ADS	User
Core	75	BBIE		2	Entered Date	2	DATE		gl-cor:enteredDate		ADS_ Activity Records. Entered Date	"The date the transaction was entered into the system. This is sometimes referred to as the creation date. This should be a system- generated date (rather than user-entered date), when possible. This date does not necessarily correspond with the date of the transaction itself."	ADS	Activity Records		Entered Date		Date		
Core	75	BBIE		3	Entered Time	2	TIME		"(This is included in the ISO 8601 representation of gl-cor:enteredDate, mentioned previously.)"		ADS_ Activity Records. Entered Time	"The time this transaction was entered into the system. ISO 8601 representing time in 24-hour time (hhmm) (for example, 1:00 PM = 1300)."	ADS	Activity Records		Entered Time		Time		
Core	75	RBIE		4	Approved By	2	TEXT	100	gl-cor:entryResponsiblePerson	User_Listing	ADS_ Activity Records. Approved By. ADS_ User	User ID (from User Listing file) for person who approved the entry.	ADS	Activity Records		Approved By			ADS	User
Core	75	BBIE		5	Approved By Date	2	DATE		gl-usk:nextDateRepeat		ADS_ Activity Records. Approved Date	The date the entry was approved.	ADS	Activity Records		Approved Date		Date		
Core	75	BBIE		6	Approved By Time	2	TIME		"(This is included in the ISO 8601 representation of gl-usk:nextDateRepeat, mentioned previously.)"		ADS_ Activity Records. Approved Time	"The time the entry was approved. ISO 8601 representing time in 24-hour time (hhmm) (for example, 1:00 PM = 1300)."	ADS	Activity Records		Approved Time		Time		
Core	75	RBIE		7	Last Modified By	2	TEXT	100	gl-bus:enteredByModified	User_Listing	ADS_ Activity Records. Last Modified By. ADS_ User	User ID (from User Listing file) for the last person modifying this entry.	ADS	Activity Records		Last Modified By			ADS	User
Core	75	BBIE		8	Last Modified Date	2	DATE		gl-usk:lastDateRepeat		ADS_ Activity Records. Last Modified Date	The date the entry was last modified.	ADS	Activity Records		Last Modified Date		Date		
Core	75	BBIE		9	Last Modified Time	2	TIME		"(This is included in the ISO 8601 representation of gl-usk:lastDateRepeat, mentioned previously.)"		ADS_ Activity Records. Last Modified Time	"The time the entry was last modified. ISO 8601 representing time in 24-hour time (hhmm) (for example, 1:00 PM = 1300)."	ADS	Activity Records		Last Modified Time		Time		
Core	76	ABIE		0							ADS_ Address. Details		ADS	Address						
Core	76	BBIE		1	Street Address1	1	TEXT	100	gl-bus:identifierStreet (*) with gl-bus:identifierAddressPurpose = 'physical' or 'billing'		ADS_ Address. Street Address1	The street address line 1.	ADS	Address		Street Address1		Text		
