,kind,level,name,Card,,ObjectClassTerm,,PropertyTerm,,RepresentationTerm,,AssociatedObject Class,@type,refpath,@desc
1,ABIE,,AuditFile,1..1,,AuditFile,,Details,,,,,,,
2,ASBIE,1,Header,1..1,,AuditFile,,Associated,,,,Header,,,Holds general information about the file including the name of the software which produced it; the company on whose behalf the SAF-T is being submitted; and the selection criteria used. An extension point is provided to allow individual Revenue Bodies to  specify further relevant information to be supplied.
3,ABIE,1,Header,1..1,,Header,,Details,,,,,,,Holds general information about the file including the name of the software which produced it; the company on whose behalf the SAF-T is being submitted; and the selection criteria used. An extension point is provided to allow individual Revenue Bodies to  specify further relevant information to be supplied.
4,ASBIE,2,HeaderStructure,1..1,,Header,,Associated,,,,HeaderStructure,,,
5,BBIE,2,TaxAccountingBasis,1..1,,Header,,TaxAccountingBasis,,Code,,,SAFshorttextType,,"Invoice Accounting, Cash Accounting, Delivery, other ..."
6,BBIE,2,TaxEntity,0..1,,Header,,TaxEntity,,Text,,,SAFmiddle2textType,,Company / Division / Branch reference
7,ASBIE,1,MasterFiles,0..1,,AuditFile,,Associated,,,,MasterFiles,,,"Holds standing data about general ledger account, suppliers, customers, products, etc.. An extension point is provided to allow Revenue Bodies to specify additional elements or structures such as tax rate tables."
8,ABIE,1,MasterFiles,0..1,,MasterFiles,,Details,,,,,,,"Holds standing data about general ledger account, suppliers, customers, products, etc.. An extension point is provided to allow Revenue Bodies to specify additional elements or structures such as tax rate tables."
9,ASBIE,2,GeneralLedgerAccounts,0..1,,MasterFiles,,Associated,,,,GeneralLedgerAccounts,,,
10,ABIE,2,GeneralLedgerAccounts,0..1,,GeneralLedgerAccounts,,Details,,,,,,,
11,ASBIE,3,Account,1..*,,GeneralLedgerAccounts,,Associated,,,,GeneralLedgerAccount,,,
12,ABIE,3,Account,1..*,,GeneralLedgerAccount,,Details,,,,,,,
13,IDBIE,4,AccountID,1..1,,GeneralLedgerAccount,,AccountID,,Text,,,SAFmiddle2textType,,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
14,BBIE,4,AccountDescription,1..1,,GeneralLedgerAccount,,AccountDescription,,Text,,,SAFlongtextType,,Name of individual GL account
15,BBIE,4,StandardAccountID,0..1,,GeneralLedgerAccount,,StandardAccountID,,Text,,,SAFmiddle1textType,,AccountID based on a standard prescribed by authorities.
16,BBIE,4,GroupingCategory,0..1,,GeneralLedgerAccount,,GroupingCategory,,Text,,,SAFmiddle1textType,,"Category for grouping the accounts, relevant in reconciling financial statements f.i."
17,BBIE,4,GroupingCode,0..1,,GeneralLedgerAccount,,GroupingCode,,Text,,,SAFmiddle1textType,,"Subcode for grouping the accounts, relevant in reconciling financial statements f.i."
18,BBIE,4,AccountType,1..1,,GeneralLedgerAccount,,AccountType,,Code,,,SAFshorttextType,,Type of account  - Asset/Liability/Sale/Expense
19,BBIE,4,AccountCreationDate,0..1,,GeneralLedgerAccount,,AccountCreationDate,,Date,,,date,,Date of creating the generalledger account
20,ASBIE,4,choice OpeningDebitBalance/ClosingDebitBalance,1..1,,GeneralLedgerAccount,,Associated,,,,choice_OpeningDebitBalance/ClosingDebitBalance,,,
21,BBIE,5,OpeningDebitBalance,1..1,,GeneralLedgerAccount,,OpeningDebitBalance,,Monetary,,,SAFmonetaryType,,Debit balance at the start date of the selection period in the header's default currency.
22,BBIE,5,OpeningCreditBalance,1..1,,GeneralLedgerAccount,,OpeningCreditBalance,,Monetary,,,SAFmonetaryType,,Credit balance at the start date of the selection period in the header's default currency.
23,ASBIE,4,choice ClosingDebitBalance/ClosingCreditBalance,1..1,,GeneralLedgerAccount,,Associated,,,,choice_ClosingDebitBalance/ClosingCreditBalance,,,
24,BBIE,5,ClosingDebitBalance,1..1,,GeneralLedgerAccount,,ClosingDebitBalance,,Monetary,,,SAFmonetaryType,,Debit balance at the end date of the selection period in the header's default currency.
25,BBIE,5,ClosingCreditBalance,1..1,,GeneralLedgerAccount,,ClosingCreditBalance,,Monetary,,,SAFmonetaryType,,Credit balance at the end date of the selection period in the header's default currency.
26,ASBIE,2,Taxonomies,0..1,,MasterFiles,,Associated,,,,Taxonomies,,,
27,ABIE,2,Taxonomies,0..1,,Taxonomies,,Details,,,,,,,
28,ASBIE,3,Taxonomy,1..*,,Taxonomies,,Associated,,,,Taxonomy,,,
29,ABIE,3,Taxonomy,1..*,,Taxonomy,,Details,,,,,,,
30,BBIE,4,TaxonomyReference,1..1,,Taxonomy,,TaxonomyReference,,Text,,,SAFlongtextType,,Reference to the taxonomy that applies to the GL Account.
31,ASBIE,4,TaxonomyElement,0..*,,Taxonomy,,Associated,,,,TaxonomyElement,,,
32,ABIE,4,TaxonomyElement,0..*,,TaxonomyElement,,Details,,,,,,,
33,BBIE,5,TaxonomyCode,1..1,,TaxonomyElement,,TaxonomyCode,,Text,,,SAFlongtextType,,Reference to specific taxonomy element
34,BBIE,5,TaxonomyClusterID,0..1,,TaxonomyElement,,TaxonomyClusterID,,Text,,,SAFlongtextType,,Additional reference to specific taxonomy element
35,BBIE,5,TaxonomyClusterContextID,0..1,,TaxonomyElement,,TaxonomyClusterContextID,,Text,,,SAFlongtextType,,
36,IDBIE,5,AccountID,1..1,,TaxonomyElement,,,,Text,,,SAFmiddle2textType,AuditFile/MasterFiles/GeneralLedgerAccounts/Account/AccountID,"General Ledger Account code for this TaxanomyReference/TaxonomyCode. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
37,ASBIE,2,Customers,0..1,,MasterFiles,,Associated,,,,Customers,,,
38,ABIE,2,Customers,0..1,,Customers,,Details,,,,,,,
39,ASBIE,3,Customer,1..*,,Customers,,Associated,,,,CompanyStructure,,,
40,ABIE,3,Customer,1..*,,CompanyStructure,,Details,,,,,,,
41,ASBIE,4,CompanyStructure,1..1,,CompanyStructure,,Associated,,,,CompanyStructure,,,
42,IDBIE,4,CustomerID,0..1,,CompanyStructure,,CustomerID,,Text,,,SAFmiddle1textType,,Unique code for the customer
43,BBIE,4,SelfBillingIndicator,0..1,,CompanyStructure,,SelfBillingIndicator,,Code,,,SAFcodeType,,Indicator showing if a self-billing agreement exists between the customer and the supplier
44,RFBIE,4,AccountID,0..1,,CompanyStructure,,AccountID,,Text,,,SAFmiddle2textType,AuditFile/MasterFiles/GeneralLedgerAccounts/Account/AccountID,"General Ledger Account code for this customer. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
45,ASBIE,4,choice_OpeningDebitBalance/OpeningCreditBalance,1..1,,CompanyStructure,,Associated,,,,choice OpeningDebitBalance/OpeningCreditBalance,,,
46,BBIE,5,OpeningDebitBalance,1..1,,CompanyStructure,,OpeningDebitBalance,,Monetary,,,SAFmonetaryType,,Debit balance at the start date of the selection period in the header's default currency.
47,BBIE,5,OpeningCreditBalance,1..1,,CompanyStructure,,OpeningCreditBalance,,Monetary,,,SAFmonetaryType,,Credit balance at the start date of the selection period in the header's default currency.
