Module,Kind,,seq,Businessterm,Definition,Datatype,ObjectClassTermQualifier,ObjectClassTerm,PropertyTermQualifier,PropertyTerm,DatatypeQualifier,RepresentationTerm,AssociatedObjectClassTermQualifier,AssociatedObjectClass,Occurrence,Additional explanation,日本語訳,説明,追加説明,Example Value (値の例),Rules,Section,BIS extension,UBL syntax xPath,Data Type,Attributes - adjustments,Cardinality,CE 16931-3-1 Table 3 -- Alignment of cardinalities
Billing,ABIE,0,ibg-00,INVOICE,,,,Invoice,,Detail,,,,,0..n,,,,,,,,,,,,,
Billing,IDBIE,1,ibt-001,Invoice number,A unique identification of the Invoice.,Identifier,,Invoice,,Identification,,Identifier,,,1..1,,請求書番号,売り手が発番した請求書を識別する番号または文字列。売り手が発番した、請求書を一意に識別する番号。,,16,ibr-2,Shared,,/Invoice/cbc:ID,IdentifierType,,1..1,
Billing,BBIE,2,ibt-002,Invoice issue date,The date when the Invoice was issued.,Date,,Invoice,,Issue,,Date,,,1..1,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,請求書発行日,請求書の発行日付、または請求書の書面上の発行日付。,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,37684,ibr-3,Shared,,/Invoice/cbc:IssueDate,DateType,,1..1,
Billing,BBIE,3,ibt-168,Invoice issue time,The time of day when an invoice was issued,Time,,Invoice,,Issue,,Time,,,0..1,,請求書発行時刻,請求書の発行時刻。,,,,Shared,Added,/Invoice/cbc:IssueTime,TimeType,,1..1,CAR-1
Billing,BBIE,4,ibt-003,Invoice type code,A code specifying the functional type of the Invoice.,Code,,Invoice,,Type,,Code,,,1..1,,請求書タイプコード,この文書のタイプを識別するコード。請求書の機能を特定するためのコード。,UNTDID 1001 Peppol BIS Billing 3.0(https://docs.peppol.eu/poacc/billing/3.0/bis/#codelist)では、\n/ ubl:Invoice / cbc:InvoiceTypeCode\n80 Debit note related to goods or services\n82 Metered services invoice\n84 Debit note related to financial adjustments\n380 Commercial invoice\n383 Debit note\n386 Prepayment invoice\n393 Factored invoice\n395 Consignment invoice\n575 Insurer's invoice\n623 Forwarder's invoice\n780 Freight invoice\n/ ubl:CreditNote / cbc:CreditNoteTypeCode\n81 Credit note related to goods or services\n83 Credit note related to financial adjustments\n381 Credit note\n396 Factored credit note\n532 Forwarder's credit note,38 (Commercial Invoice),"ibr-4,ibr-cl-1,jp-cl-1",Shared,,/Invoice/cbc:InvoiceTypeCode,CodeType,,0..1,CAR-2
Billing,BBIE,5,ibt-005,Invoice currency code,"The currency in which all Invoice amounts are given, except for the Total TAX amount in accounting currency.",Code,,Invoice,,Currency,,Code,,,1..1,The currency code must be the one listed in the ISO 4217 Currency codes. ,請求書通貨コード,請求書に記載された通貨を表すコード。会計通貨での請求書消費税合計金額を除き、請求書に記載されている全て金額の表示の通貨コード。,通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。,JPY,"ibr-5,ibr-cl-4",Shared,,/Invoice/cbc:DocumentCurrencyCode,CodeType,,0..1,CAR-2
Billing,BBIE,6,ibt-006,Tax accounting currency,The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.,Code,,Invoice,Tax accounting,Currency,,Code,,,0..1,The currency code must be the one listed in the ISO 4217 Currency codes. ,税会計報告用通貨コード,会計報告や財務報告に使用する通貨を表すコード。売り手の国で認められたもしくは要求された会計報告や財務報告に使用する通貨を表すコード。,通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。,,"ibr-53,ibr-cl-5",Aligned,,/Invoice/cbc:TaxCurrencyCode,CodeType,,0..1,
Billing,BBIE,7,ibt-007,TAX point date,"The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the TAX directive.",Date,,Invoice,,Tax point date,,Date,,,0..1,"The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. To present ""date of the transfer of taxable assets, etc"", in case that ""date of the transfer of taxable assets, etc"" is a single date,  ibt-007 tax point date can be used. In case that ""date of the transfer of taxable assets, etc"" is a period, ibg-14 INVOICING PERIOD on document level can be used. ibg-14 defines period during which the goods or services that are invoiced were provided. The main use case is for metered service. As example online data consumption or utililities but it can also be used for goods delivered during a period, as is the case for the summarized invoice. In the same way IBG-26 INVOICE LINE PERIOD on line level can be used when there are different dates for each line.",課税基準日,請求書の日付とは異なる日付が、商取引の課税対象とされる基準日。税法に基づき、請求書発行日付とは異なる日付で、売り手、買い手が税を記帳する場合の、その日付。,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。課税資産の譲渡等の日を表すために、課税資産の譲渡等の日が単一の日付の場合は、ibt-007 課税基準日の日付を使用できる。課税資産の譲渡等の日が期間の場合、ドキュメントレベルの IBG-14 請求期間を使用できる。IBG-14は、請求される商品またはサービスが提供された期間を定義している。主な使用例は、従量制サービスであり、 例としてはオンラインデータの消費あるいは電気ガス水道といった公益料金であるが、合算請求書のケースのように、期間中に提供された商品の場合にも使用できる。同様に、各行ごとに課税資産の譲渡等の日が異なる場合、請求書明細行レベルのIBG-26 請求書明細行の期間を使用できる。,,ibr-co-11,Aligned,,/Invoice/cbc:TaxPointDate,DateType,,0..1,
Billing,BBIE,8,ibt-008,TAX point date code,The code of the date when the TAX becomes accountable for the Seller and for the Buyer.,Code,,Invoice,,Tax point date,,Code,,,0..1,"The TAX point date code must be the one listed in the UNCL2005 subset. \n3 Invoice document issue date time \n35 Delivery date/time, actual\n432 Paid to date",課税基準日コード,売り手、買い手が税を記帳する日付が何であるかを示すコード。,"VAT date code (UNCL2005 subset) から選択する。\n3 Invoice document issue date time (請求書発行日付時刻)\n35 Delivery date/time, actual (実際納入日付時刻)\n432 Paid to date (支払日)",3 (請求書発行日付時刻),,Aligned,,/Invoice/cac:InvoicePeriod/cbc:DescriptionCode,CodeType,,0..n,CAR-3
Billing,BBIE,9,ibt-009,Payment due date,The date when the payment is due.,Date,,Invoice,,Payment due,,Date,,,0..1,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,支払期日,支払条件で示された支払期日。,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,377,ibr-co-25,Shared,,/Invoice/cbc:DueDate,DateType,,0..1,
