kind,level,name,@name,parent,@base,@type,restriction@base,enumeration@value,@minOccurs,@maxOccurs,pathany@namespace,any@minOccurs,@desc,any@desc,any@namespace,any@minOccurs,any@desc
ABIE,0,AuditFile,AuditFile,,,,,,,,,,,,,,
,1,Header,Header,AuditFile,,,,,,,,0,Holds general information about the file including the name of the software which produced it; the company on whose behalf the SAF-T is being submitted; and the selection criteria used. An extension point is provided to allow individual Revenue Bodies to  specify further relevant information to be supplied.,Represents space to allow individual Revenue Bodies to add further elements if required. See Annex A.,##other,0,Represents space to allow individual Revenue Bodies to add further elements if required. See Annex A.
,2,HeaderStructure,,Header,HeaderStructure,,,,,,,,,,,,
,2,TaxAccountingBasis,TaxAccountingBasis,Header,,SAFshorttextType,,,,,,,"Invoice Accounting, Cash Accounting, Delivery, other ...",,,,
,2,TaxEntity,TaxEntity,Header,,SAFmiddle2textType,,,0,,,,Company / Division / Branch reference,,,,
,1,MasterFiles,MasterFiles,AuditFile,,,,,0,,,0,"Holds standing data about general ledger account, suppliers, customers, products, etc.. An extension point is provided to allow Revenue Bodies to specify additional elements or structures such as tax rate tables.",Represents space to allow individual Revenue Bodies to specify additional standing data.,##other,0,Represents space to allow individual Revenue Bodies to specify additional standing data.
,2,GeneralLedgerAccount,GeneralLedgerAccounts,MasterFiles,,,,,0,,,,,,,,
,3,Account,Account,GeneralLedgerAccount,,,,,,unbounded,,0,,Represents space to allow individual Revenue Bodies to add further elements,##other,0,Represents space to allow individual Revenue Bodies to add further elements
,4,AccountID,AccountID,Account,,SAFmiddle2textType,,,,,,,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,,,
,4,AccountDescription,AccountDescription,Account,,SAFlongtextType,,,,,,,Name of individual GL account,,,,
,4,StandardAccountID,StandardAccountID,Account,,SAFmiddle1textType,,,0,,,,AccountID based on a standard prescribed by authorities.,,,,
,4,GroupingCategory,GroupingCategory,Account,,SAFmiddle1textType,,,0,,,,"Category for grouping the accounts, relevant in reconciling financial statements f.i.",,,,
,4,GroupingCode,GroupingCode,Account,,SAFmiddle1textType,,,0,,,,"Subcode for grouping the accounts, relevant in reconciling financial statements f.i.",,,,
,4,AccountType,AccountType,Account,,SAFshorttextType,,,,,,,Type of account  - Asset/Liability/Sale/Expense,,,,
,4,AccountCreationDate,AccountCreationDate,Account,,date,,,0,,,,Date of creating the generalledger account,,,,
,4,OpeningDebitBalance,OpeningDebitBalance,Account,,SAFmonetaryType,,,,,,,Debit balance at the start date of the selection period in the header's default currency.,,,,
,4,OpeningCreditBalance,OpeningCreditBalance,Account,,SAFmonetaryType,,,,,,,Credit balance at the start date of the selection period in the header's default currency.,,,,
,4,ClosingDebitBalance,ClosingDebitBalance,Account,,SAFmonetaryType,,,,,,,Debit balance at the end date of the selection period in the header's default currency.,,,,
,4,ClosingCreditBalance,ClosingCreditBalance,Account,,SAFmonetaryType,,,,,,,Credit balance at the end date of the selection period in the header's default currency.,,,,
,2,Taxonomies,Taxonomies,MasterFiles,,,,,0,,,,,,,,
,3,Taxonomy,Taxonomy,Taxonomies,,,,,,unbounded,,,,,,,
,4,TaxonomyReference,TaxonomyReference,Taxonomy,,SAFlongtextType,,,,,,,Reference to the taxonomy that applies to the GL Account.,,,,
,4,TaxonomyElement,TaxonomyElement,Taxonomy,,,,,0,unbounded,,,,,,,
,5,TaxonomyCode,TaxonomyCode,TaxonomyElement,,SAFlongtextType,,,,,,,Reference to specific taxonomy element,,,,
,5,TaxonomyClusterID,TaxonomyClusterID,TaxonomyElement,,SAFlongtextType,,,0,,,,Additional reference to specific taxonomy element,,,,
,5,TaxonomyClusterContextID,TaxonomyClusterContextID,TaxonomyElement,,SAFlongtextType,,,0,,,,,,,,
,5,AccountID,AccountID,TaxonomyElement,,SAFmiddle2textType,,,,,,,"General Ledger Account code for this TaxanomyReference/TaxonomyCode. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,,,
,2,Customers,Customers,MasterFiles,,,,,0,,,,,,,,
,3,Customer,Customer,Customers,,,,,,unbounded,,0,,Represents space to allow individual Revenue Bodies to add further elements,##other,0,Represents space to allow individual Revenue Bodies to add further elements
,4,CompanyStructure,,Customer,CompanyStructure,,,,,,,,,,,,
,4,CustomerID,CustomerID,Customer,,SAFmiddle1textType,,,0,,,,Unique code for the customer,,,,
