num,Module,Kind,Table,Name,Level,Card,Type,DictionaryEntryName,Description,ObjectClassTermQualifier,ObjectClassTerm,DatatypeQualifier,RepresentationTerm,AssociatedObjectClassTermQualifier,AssociatedObjectClass,ReferencedObjectClassTermQualifier,ReferencedObjectClass,Type,Description
200,General Ledger Entries,BBIE,,NumberOfEntries,1,1..1,nonNegativeInteger,Tax Information Structure. Detail,Number of entries,,GeneralLedgerEntries,,Numeric,,,,,nonNegativeInteger,Number of entries
202,General Ledger Entries,BBIE,,TotalDebit,1,1..1,SAFmonetaryType,Tax Information Structure. Detail,The total of all debit amounts in the header's default currency.,,GeneralLedgerEntries,,Monetary,,,,,SAFmonetaryType,The total of all debit amounts in the header's default currency.
203,General Ledger Entries,BBIE,,TotalCredit,1,1..1,SAFmonetaryType,Tax Information Structure. Detail,The total of all credit amounts in the header's default currency.,,GeneralLedgerEntries,,Monetary,,,,,SAFmonetaryType,The total of all credit amounts in the header's default currency.
204,General Ledger Entries,ASBIE,,Journal,1,0..*,,Tax Information Structure. Detail,,,GeneralLedgerEntries,,,,Journal,,,,
205,General Ledger Entries,ABIE,,Journal,,,,Journal. Detail,,,Journal,,,,,,,,
206,General Ledger Entries,BBIE,,Journal I,1,1..1,SAFshorttextType,Tax Information Structure. Detail,"Source GL journal identifier, or invoices and payments in single ledger systems",,Journal,,Code,,,,,SAFshorttextType,"Source GL journal identifier, or invoices and payments in single ledger systems"
207,General Ledger Entries,BBIE,,Description,1,1..1,SAFlongtextType,Tax Information Structure. Detail,Description of the Journal,,Journal,,Text,,,,,SAFlongtextType,Description of the Journal
208,General Ledger Entries,BBIE,,Type,1,1..1,SAFcodeType,Tax Information Structure. Detail,Grouping mechanism for journals,,Journal,,Code,,,,,SAFcodeType,Grouping mechanism for journals
209,General Ledger Entries,ASBIE,,Transaction,1,0..*,,Tax Information Structure. Detail,,,Journal,,,,Transaction,,,,
210,General Ledger Entries,ABIE,,Transaction,,,,Transaction. Detail,,,Transaction,,,,,,,,
211,General Ledger Entries,IDBIE,,Transaction I,1,1..1,SAFmiddle2textType,Tax Information Structure. Detail,"Cross-reference to GL posting. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department.",,Transaction,,Identifier,,,,,SAFmiddle2textType,"Cross-reference to GL posting. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
